n,seed,factor,Q,obj_joint,obj_myopic,VoI,VoI_pct
5,1,0.4,14,1267.0,1279.0,12.0,0.94
5,4,0.4,13,1298.0,1298.0,0.0,0.0
5,6,0.4,16,1033.0,1033.0,0.0,0.0
5,3,0.5,21,891.0,923.0,32.0,3.47
5,4,0.5,17,1148.0,1153.0,5.0,0.43
5,5,0.5,18,934.0,962.0,28.0,2.91
5,7,0.5,13,946.0,963.0,17.0,1.77
5,0,0.6,21,665.0,665.0,0.0,0.0
5,1,0.6,21,1036.0,1086.0,50.0,4.6
5,2,0.6,22,1205.0,1214.0,9.0,0.74
5,4,0.6,20,1099.0,1100.0,1.0,0.09
5,5,0.6,21,875.0,914.0,39.0,4.27
5,6,0.6,24,849.0,849.0,0.0,0.0
5,7,0.6,16,871.0,871.0,0.0,0.0
5,0,0.7,25,652.0,652.0,0.0,0.0
5,1,0.7,24,1010.0,1010.0,0.0,0.0
5,3,0.7,30,859.0,859.0,0.0,0.0
5,4,0.7,23,1014.0,1051.0,37.0,3.52
5,5,0.7,25,850.0,850.0,0.0,0.0
5,6,0.7,28,804.0,804.0,0.0,0.0
5,7,0.7,18,822.0,856.0,34.0,3.97
5,0,0.85,30,652.0,652.0,0.0,0.0
5,1,0.85,29,1010.0,1010.0,0.0,0.0
5,2,0.85,31,1041.0,1057.0,16.0,1.51
5,3,0.85,36,859.0,859.0,0.0,0.0
5,4,0.85,28,953.0,1002.0,49.0,4.89
5,5,0.85,30,850.0,850.0,0.0,0.0
5,6,0.85,34,804.0,804.0,0.0,0.0
5,7,0.85,22,733.0,778.0,45.0,5.78
5,0,1.0,36,652.0,652.0,0.0,0.0
5,1,1.0,35,1010.0,1010.0,0.0,0.0
5,2,1.0,37,1041.0,1041.0,0.0,0.0
5,3,1.0,43,859.0,859.0,0.0,0.0
5,4,1.0,34,927.0,927.0,0.0,0.0
5,5,1.0,36,850.0,850.0,0.0,0.0
5,6,1.0,40,804.0,804.0,0.0,0.0
5,7,1.0,27,696.0,696.0,0.0,0.0
